98,7
157,43
177,22
23,42
118,23
58,39
149,2
26,22
169,29
49,19
75,47
26,49
1,4
172,38
112,12
127,13
126,35
174,46
104,33
122,10
40,0
135,29
19,26
161,44
82,46
46,5
146,49
157,21
117,39
50,45
126,43
108,3
41,16
75,34
76,42
112,49
152,0
168,31
18,30
75,46
120,43
142,23
123,39
18,41
79,13
193,26
119,22
114,41
38,49
177,30
93,4
66,41
145,13
151,8
171,33
74,41
21,11
187,0
144,37
187,49
173,44
138,29
143,30
72,11
2,41
112,22
78,27
13,44
9,2
64,27
198,41
24,2
97,30
153,13
30,17
5,11
122,38
13,4
5,16
38,28
196,10
56,15
165,14
139,42
5,3
115,31
85,9
166,4
16,42
153,3
15,40
59,25
197,49
68,0
127,16
26,35
39,5
95,46
82,40
134,41
52,34
174,39
159,13
144,32
77,33
64,10
48,22
18,6
74,26
109,32
66,33
40,7
96,25
31,11
13,26
144,1
145,17
169,47
147,46
81,15
193,1
15,2
6,14
84,7
162,47
167,44
24,18
66,29
15,48
28,27
60,16
70,49
152,38
187,43
190,7
35,34
31,23
93,17
94,3
17,26
75,23
72,0
36,31
86,14
53,4
109,22
137,42
19,10
46,40
159,14
142,5
74,45
129,48
199,24
92,13
119,37
145,12
120,32
27,28
51,22
156,20
88,45
179,38
159,1
109,48
166,46
28,20
100,27
96,15
34,23
97,24
182,35
73,45
178,42
49,13
18,24
54,11
50,3
87,24
167,4
27,38
141,39
12,23
40,10
92,29
107,21
77,49
75,20
110,47
44,28
174,8
170,29
36,26
139,40
91,20
32,1
181,9
179,22
84,42
53,7
183,18
93,39
13,6
179,28
163,35
164,39
59,1
117,30
17,15
20,13
54,41
154,12
92,23
2,19
178,17
174,0
87,39
16,22
43,26
21,46
171,27
141,44
38,42
138,42
166,20
4,23
6,5
120,31
182,0
64,33
15,43
28,24
26,26
33,30
148,36
78,36
99,0
137,2
147,13
43,38
46,29
46,28
49,0
130,49
12,32
121,31
100,17
168,48
117,21
158,39
140,41
163,6
195,10
148,43
167,46
168,2
123,17
109,14
196,2
9,46
189,20
98,31
61,38
151,1
137,40
52,36
200,21
50,44
40,18
137,34
180,11
112,39
28,44
66,24
56,4
158,23
102,9
198,43
106,34
126,6
68,27
197,25
92,48
106,42
67,0
54,29
94,13
24,20
4,24
108,13
151,27
64,41
162,46
179,41
171,26
82,7
5,13
163,19
78,5
53,10
